Metrica,Valor
Log Loss,15.971006225248528
F1 Score,0.339664189375172
Acurácia,"(0.5567257945306726,)"
Precisão,"(0.3333333333333333,)"
Recall,0.3462401795735129
AUC,0.5030152303568282
